column,graph_kind,mean_abs_response,mean_response,nn,repeat,source_case,sweep,target_case
5,initial,0.35611718429910677,-0.2116405873849883,1,1,1,17,2
6,initial,0.37406508440913033,-0.21991709961467543,1,1,1,17,2
7,initial,0.26215570695828794,-0.1873745029288193,1,1,1,17,2
8,initial,0.2890155968864426,0.1196090923596505,1,1,1,17,2
1,initial,0.3216782372402638,-0.15980007665387508,1,1,1,18,2
2,initial,0.20297095827804817,0.13421612961067744,1,1,1,18,2
3,initial,0.23379165607127078,-0.19686012956161292,1,1,1,18,2
4,initial,0.19620735847436427,0.03516245055063465,1,1,1,18,2
5,initial,0.37553581951823894,-0.16752368043528276,1,1,1,18,2
6,initial,0.37581868325360435,-0.20892656214097333,1,1,1,18,2
7,initial,0.2736586160139114,-0.14852633572910132,1,1,1,18,2
8,initial,0.34424619433491754,0.13127539675470884,1,1,1,18,2
1,initial,0.38429005923273796,-0.1748598603257392,1,1,1,19,2
2,initial,0.2015340636633209,0.10762066300092621,1,1,1,19,2
3,initial,0.25445258013622085,-0.23695682699391243,1,1,1,19,2
4,initial,0.19019753046664667,0.052583219374225956,1,1,1,19,2
5,initial,0.3707997087433995,-0.18421138562190995,1,1,1,19,2
6,initial,0.37655962289672423,-0.22141403739982435,1,1,1,19,2
7,initial,0.25162408378806034,-0.15366037524692328,1,1,1,19,2
8,initial,0.36399569243150814,0.13576340189139022,1,1,1,19,2
1,initial,0.39423445014430963,-0.163682138991339,1,1,1,20,2
2,initial,0.24709864358684436,0.10275217073305898,1,1,1,20,2
3,initial,0.25360054007367894,-0.20123256720993643,1,1,1,20,2
4,initial,0.21809491145385312,-0.0027058890605422964,1,1,1,20,2
5,initial,0.3270954305082382,-0.21593032912666987,1,1,1,20,2
6,initial,0.44232501365285026,-0.2781507175295634,1,1,1,20,2
7,initial,0.221823370303038,-0.1575703824511398,1,1,1,20,2
8,initial,0.40945123286944085,0.10871088598464915,1,1,1,20,2
1,initial,0.46154041057056244,-0.2106039139883415,1,1,1,21,2
2,initial,0.20543898032479507,0.10306394376433622,1,1,1,21,2
3,initial,0.2180116146209848,-0.1663127435357796,1,1,1,21,2
4,initial,0.25812260430397904,-0.08596264509338532,1,1,1,21,2
5,initial,0.338030755214485,-0.18904161212639836,1,1,1,21,2
6,initial,0.4281358847031696,-0.21458411221733706,1,1,1,21,2
7,initial,0.21979684009766523,-0.14942439121816797,1,1,1,21,2
8,initial,0.40675143193781316,0.10358720569504774,1,1,1,21,2
1,initial,0.5106818902809253,-0.21618120597923307,1,1,1,22,2
2,initial,0.2389500396086011,0.02278901103291958,1,1,1,22,2
3,initial,0.21246018644766684,-0.16274867601971887,1,1,1,22,2
4,initial,0.2709782071685119,-0.05648990093707663,1,1,1,22,2
5,initial,0.3293346022028685,-0.19026421877172336,1,1,1,22,2
6,initial,0.4523906629095298,-0.24343884603944066,1,1,1,22,2
7,initial,0.23815614735055637,-0.16513659713733436,1,1,1,22,2
8,initial,0.40495602595133284,0.16471216353600662,1,1,1,22,2
1,initial,0.5030975990166053,-0.1767368964340259,1,1,1,23,2
2,initial,0.2680071684087508,-0.008581630068792818,1,1,1,23,2
3,initial,0.22572007992814444,-0.1120074165512556,1,1,1,23,2
4,initial,0.2548573010479428,-0.029426341198982707,1,1,1,23,2
5,initial,0.32921354855648,-0.20475268596851506,1,1,1,23,2
6,initial,0.4575367074927641,-0.2216222841119363,1,1,1,23,2
7,initial,0.23040490462615565,-0.1817983384586298,1,1,1,23,2
8,initial,0.4239604849809948,0.14204186440586244,1,1,1,23,2
1,initial,0.5370775374463634,-0.17286283406007374,1,1,1,24,2
2,initial,0.24780099069030742,-0.0041027654199606925,1,1,1,24,2
3,initial,0.20476618601345767,-0.07625174400936094,1,1,1,24,2
